gene	Apical progenitors	Astrocytes	CThPN	DL CPN	Immature neurons	Intermediate progenitors	Layer 4	Migrating neurons	NP	SCPN	UL CPN
A630072M18Rik											
Col2a1	0.9999965851645053	1.0	0.9753343048105755	0.9309197992831677	0.8130011105376821		0.9868115549796603	0.9939408167253947	0.12994189839277692	0.9193996175368969	0.9986043623339456
Wdr36											
Sik3											
Mapk10	0.9612523438374534			0.9999965907452543	0.9999067241157553		0.9999999999126498			0.9620854139745018	0.9999999696250564
Gm561			0.9999999999724137	1.0	0.9999999965387866	0.9434321680079567	1.0	0.2888618202955434	0.9999923759812446	1.0	0.9999999999658672
Gm29367	0.9555192058998503		0.8703343178665276	0.8538868415755018	0.846114336679918	0.9160361079201633	0.9210720105702215	0.952720364518685	0.039967467023937275	0.8254733732620883	0.9610358021556936
2810006K23Rik											
Srpk1	1.0		1.0	1.0	1.0	1.0	1.0	1.0	0.9998678986516096	1.0	1.0
Sgce											
Acad11	0.7105435403644156		0.9164124216989977	0.7974527729085936	0.6800419858591409	0.7776703565018271	0.9426471316448765	0.9167898145867236	0.033205980758632014	0.6766050568940145	0.9809298609649076
Tmem229a		0.9753471741874323	0.7256684194066059		0.3364582616588685	0.4616373739103036	0.5361343970405874	0.9820545784479588		0.09495055502179117	
Usp20											
Mef2a											
Prss23	0.9758940317472979	0.9893712441577082	0.8260576950291034	0.46989603277956515	0.5957500732190046		0.8625687727816709	0.8541368034683985	0.9758940317472979	0.7201027674162148	0.9506393879700601
Lrrc8c		0.7893234086237628	0.08361609125247926	0.0879783542326088	0.7200664710955138	0.5610045897039911		0.9897396438647655		0.9912085554833808	0.9090660132574594
Evi5		1.0	1.0	1.0	0.9999999852917313	0.9999999999998523	1.0	1.0	0.9913560134578127	0.9999999858806001	1.0
Mia3	0.32040133597196485						0.22456625485444293				
Ears2											
Msrb2											
Cbfa2t2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9999999990195482	0.9999999990195482	1.0	1.0
Ribc1		0.6085756247744524	0.9399387659277139	0.7698022956181347	0.5945844184178444	1.0	0.9344942571858856	0.9488736073563473	1.0	0.7000850489462056	0.9923292590165294
C330006A16Rik											
Stradb	0.999948597431764		0.9999999999999949	1.0	0.9999999880523893	0.9911976666475425	1.0		0.9999999501633224	1.0	1.0
Itm2c	0.6290444131755306	1.0	0.9966214417727868		0.9999532510398683	0.9352803298905743	0.9998611706576321	0.7679903264434613		0.9889901153496945	0.9999998801076725
Plekhb1	0.999999999999982	0.9838823726880064	0.9999999999997864	0.9999999998654445	0.9999999996562106	0.999999999999999	0.9999999999996012	1.0	0.9838823726880064	0.9999999998569163	0.9999999999999999
Kif20b	0.9999999999999993		0.988203695459354	0.971698883612171	0.8010780376198908	0.9999775175224552	0.985034240660054	0.9854207616462897	0.449573378683934	0.8898398420995338	0.9945958109949232
AI854517	1.0	1.0	1.0	1.0	0.9999999998660715	1.0	1.0	0.9999996009353754	0.9999996009353754	0.9999999999999459	1.0
Bbs9											
Lrrc8b											
1700023F06Rik	0.07841552204836422	0.40304310371978724	0.5079335898295243			0.6017910300750446	0.6078350099707724	0.30436550244872407			
Agps											
Ppp1r14c	1.0		0.999999999994413	1.0		0.9999999999930471	1.0		0.9999999999998288	1.0	1.0
Mrps30	0.9999999661003415	0.0792430593268586	1.0		0.94066515007183	0.8370593807768474	0.8859674901453924	0.1484476943149774		0.9787309784707308	0.8902389685276538
Pygo1											
Nckap1		0.9999349513329253	0.9999999999986321	1.0	0.9996353192486922		1.0		0.999999999358103	1.0	0.99999999967013
Hps3											
Sulf2		0.21798736856622536			0.3284759385872056			0.9938096348282472	0.9999999948169912		
Htra3	0.9924853985724171		0.9666949843735347	0.9319690809528896	0.9354063975553412	0.9836295900791844	0.9759745509094656	0.9882172421096487	0.3027301945839983	0.9410026979934983	0.9897871786688314
Ptpre	0.44018831889120813	0.17638772159351768	0.9159682080242451	0.7965205223498886	0.14747274496073914	0.3169916490220057	0.9462518474832962	0.0981905490588234		0.6530345516322127	
Taf9b											
Zfp606											
Ppargc1a		0.8282374044004837		0.21983296435484068	0.34317831779065167	0.8708753451100125	0.5834841571379039	0.8417542798231853			0.5633551336914258
Tram1l1											
Ints8											
Jph4	0.9896689082179155		1.0	1.0	1.0	0.78654887376255	1.0		0.9999979638845174	1.0	1.0
Fam101b		0.6595491667708673		1.0	0.774094324347758	0.849989662442602		0.9829795162214814	0.04863544855159596	0.7130060716581539	0.8478726995032035
Atp11b											
Map3k2											
Larp1b		0.21222996384546822	1.0	0.19189850736027525	0.13673455052155659	0.6407848553447484		0.957132873810417	1.0	1.0	
Fuz											
Omg	0.9831443436797023	0.569815980415868		0.38861535453244467	0.3799769367409995	0.9608393021105514		0.9665512129851196	1.0	0.17881591183695023	0.5967420945568267
Gm26721	0.9721083750181579	0.6823329340108597		1.0	0.12789791301311104	0.9295216864597647		0.8081358377629537	1.0	1.0	0.5577691323326613
Trpm3	0.13940266061916073	0.06219451160837042			0.7636408349752618	0.036413667468663924	0.1586324626555914	0.5667005483566436			0.622987033803942
Olig2	1.0	0.9999992198816112	1.0	1.0	1.0	1.0	1.0	1.0	0.9999992198816112	1.0	1.0
Cacna1g	0.9960314884117732	0.880743843389616		0.750925775287505	0.3596536923646294	0.9982094035695256	0.8098428770364993	0.9986345226608448		0.27743857242721803	
Arrdc1											
Zfp575											
4930570G19Rik	0.9680639702512217		0.6353002518709239	0.06730231523369945	0.5629016481504292	0.7286349905169833	0.5632016720059186	0.7308209142666947	0.17385352887272998	0.8835944740053268	0.9768161514472362
Rassf10	1.0	0.9999240209810211	1.0	1.0	1.0	1.0	1.0	1.0	0.9999240209810211	1.0	1.0
Pald1	0.7525375359421392	0.7409968344348753	0.683778256108044	1.0	0.34598633270907153	0.9630547056438851	0.3152223926238016	0.9771022425553781	1.0		0.6307306058532418
Sec14l1	0.9992371782736236	0.9999932015753842	0.9999897393306647	0.9999999999999998	0.9999999983091552	0.999988958736747	1.0		0.8378156556641266	1.0	1.0
Pxylp1											
Lix1l											
Palld	0.9999849935182118	0.9999305094178889	0.963689156147377	0.919100705438449		0.9999918830261741	0.9739530329393669		0.5221941628608442	0.7632712575466569	0.9928279343498625
Pde2a	0.999999976565855	0.9999969047057048	0.9781877163320942		0.1483705271620408	0.9999998908815835	0.9999999999999842	0.9999991975354635	0.24112669871149173		
Lrrc28											
3100002H09Rik	0.9853212279799662	0.8748023665723182	0.9254424163876324	0.4118723888585406	0.634618135330083	0.9607645401667844		0.8791473799802343	0.3653223436918258		
Ryk											
Ormdl2											
Nbea	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Orc1		0.9992000741888141	0.9999987822713231	0.9999352001578575	0.9999242006902987	0.9999933291407216	0.9999997472684682	0.999999999993173	0.7265366786040205	0.9998745520354814	0.9999999999996373
Cd1d1											
Frem2	0.9894988306626189		0.9682947404996473	0.6691736722598471	0.6869726218832599	0.9775622706774844	0.4931737400784654	0.9915871741174663	0.11273388577235122	0.9285823465942334	
Pisd											
Cox6a2	1.0	0.99999999967635	0.999999999999676	0.9999999873333439	0.9999999992473086	1.0	0.9590670189310714	1.0	0.9590670189310714	0.9999999904209285	1.0
Amer2	0.999999924109862		1.0	1.0	1.0	0.9999996888350271	1.0	1.0	0.9999999941272515	1.0	1.0
Usp50	0.999999942287614		0.9999559785593047	1.0		0.9993734755182412	0.9999999944582143	1.0	1.0	1.0	0.9810299240622611
Dcbld2	0.46714012148480777			0.12961551054025022	0.48178253739067745	0.5726827289631802		0.6302118447041488			0.8503103319423659
Herc1			1.0	1.0	0.9999999999989776	0.9995194521822486	1.0	0.9989727941693881	0.9999974765340987	1.0	1.0
Ermn		0.1955541593928799	0.006540417659523734	0.7364445016877182	0.7823421699456041	0.8982135515721648	0.8616150969787586	0.9863768832610575	0.9828646662393428	0.9828646662393428	0.9843882838838955
Ctnnd1											
Iffo2	0.9578064726068196	0.7753079608260244			0.2192600950290423	0.9354365584873638		0.9097737457358048	1.0		
Zfp184											
Prdx4	1.0	1.0				0.9998312077179787		0.9860608717885487			
Zfp760											
Mief2											
Dnajc18											
Hcn2	0.991726299895312	0.7519708231795709	0.6673931130254764	0.181733418798392	0.14661750201133716	0.9639525551232844		0.9610236404256608	1.0	1.0	
Slc4a2											
Rtn2	1.0	1.0	1.0	1.0	1.0		1.0	1.0	0.9999999406670745	1.0	1.0
Wdr47	0.9999955922191062		1.0	1.0	1.0		1.0	1.0	0.9999369159466944	1.0	1.0
Snx14											
Dhrs13											
Leng9											
Hexim1											
Efr3b											
