gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
A630072M18Rik							
Col2a1	1.0	0.9753343048105756	0.9309197992831676	0.9868115549796604	0.1299418983927769	0.9193996175368968	0.9986043623339456
Wdr36							
Sik3							
Mapk10			0.9999965907452544	0.9999999999126498		0.9620854139745018	0.9999999696250564
Gm561		0.9999999999724136	1.0	1.0	0.9999923759812446	1.0	0.9999999999658672
Gm29367		0.8703343178665276	0.8538868415755018	0.9210720105702216	0.0399674670239372	0.8254733732620883	0.9610358021556936
2810006K23Rik							
Srpk1		1.0	1.0	1.0	0.9998678986516096	1.0	1.0
Sgce							
Acad11		0.9164124216989976	0.7974527729085936	0.9426471316448763	0.033205980758632	0.6766050568940145	0.9809298609649076
Tmem229a	0.9753471741874324	0.7256684194066059		0.5361343970405874		0.0949505550217911	
Usp20							
Mef2a							
Prss23	0.9893712441577082	0.8260576950291034	0.4698960327795651	0.8625687727816709	0.975894031747298	0.7201027674162148	0.95063938797006
Lrrc8c	0.7893234086237628	0.0836160912524792	0.0879783542326088			0.9912085554833808	0.9090660132574594
Evi5	1.0	1.0	1.0	1.0	0.9913560134578128	0.9999999858806	1.0
Mia3				0.2245662548544429			
Ears2							
Msrb2							
Cbfa2t2	1.0	1.0	1.0	1.0	0.9999999990195482	1.0	1.0
Ribc1	0.6085756247744524	0.939938765927714	0.7698022956181347	0.9344942571858856	1.0	0.7000850489462056	0.9923292590165294
C330006A16Rik							
Stradb		0.9999999999999948	1.0	1.0	0.9999999501633224	1.0	1.0
Itm2c	1.0	0.9966214417727868		0.999861170657632		0.9889901153496944	0.9999998801076724
Plekhb1	0.9838823726880064	0.9999999999997864	0.9999999998654444	0.9999999999996012	0.9838823726880064	0.9999999998569165	1.0
Kif20b		0.988203695459354	0.971698883612171	0.985034240660054	0.449573378683934	0.8898398420995338	0.9945958109949232
AI854517	1.0	1.0	1.0	1.0	0.9999996009353754	0.999999999999946	1.0
Bbs9							
Lrrc8b							
1700023F06Rik	0.4030431037197872	0.5079335898295243		0.6078350099707724			
Agps							
Ppp1r14c		0.999999999994413	1.0	1.0	0.9999999999998288	1.0	1.0
Mrps30	0.0792430593268586	1.0		0.8859674901453924		0.9787309784707308	0.8902389685276538
Pygo1							
Nckap1	0.9999349513329252	0.999999999998632	1.0	1.0	0.999999999358103	1.0	0.99999999967013
Hps3							
Sulf2	0.2179873685662253				0.9999999948169912		
Htra3		0.9666949843735348	0.9319690809528896	0.9759745509094656	0.3027301945839983	0.9410026979934984	0.9897871786688314
Ptpre	0.1763877215935176	0.9159682080242452	0.7965205223498886	0.9462518474832962		0.6530345516322127	
Taf9b							
Zfp606							
Ppargc1a	0.8282374044004837		0.2198329643548406	0.5834841571379039			0.5633551336914258
Tram1l1							
Ints8							
Jph4		1.0	1.0	1.0	0.9999979638845174	1.0	1.0
Fam101b	0.6595491667708673		1.0		0.0486354485515959	0.7130060716581539	0.8478726995032035
Atp11b							
Map3k2							
Larp1b	0.2122299638454682	1.0	0.1918985073602752		1.0	1.0	
Fuz							
Omg	0.569815980415868		0.3886153545324446		1.0	0.1788159118369502	0.5967420945568267
Gm26721	0.6823329340108597		1.0		1.0	1.0	0.5577691323326613
Trpm3	0.0621945116083704			0.1586324626555914			0.622987033803942
Olig2	0.9999992198816112	1.0	1.0	1.0	0.9999992198816112	1.0	1.0
Cacna1g	0.880743843389616		0.750925775287505	0.8098428770364993		0.277438572427218	
Arrdc1							
Zfp575							
4930570G19Rik		0.6353002518709239	0.0673023152336994	0.5632016720059186	0.1738535288727299	0.8835944740053268	0.9768161514472362
Rassf10	0.9999240209810212	1.0	1.0	1.0	0.9999240209810212	1.0	1.0
Pald1	0.7409968344348753	0.683778256108044	1.0	0.3152223926238016	1.0		0.6307306058532418
Sec14l1	0.9999932015753842	0.9999897393306648	0.9999999999999998	1.0	0.8378156556641266	1.0	1.0
Pxylp1							
Lix1l							
Palld	0.9999305094178887	0.963689156147377	0.919100705438449	0.9739530329393667	0.5221941628608442	0.7632712575466569	0.9928279343498624
Pde2a	0.9999969047057048	0.9781877163320942		0.9999999999999842	0.2411266987114917		
Lrrc28							
3100002H09Rik	0.8748023665723182	0.9254424163876324	0.4118723888585406		0.3653223436918258		
Ryk							
Ormdl2							
Nbea	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Orc1	0.999200074188814	0.9999987822713232	0.9999352001578576	0.9999997472684682	0.7265366786040205	0.9998745520354814	0.9999999999996372
Cd1d1							
Frem2		0.9682947404996473	0.6691736722598471	0.4931737400784654	0.1127338857723512	0.9285823465942334	
Pisd							
Cox6a2	0.99999999967635	0.999999999999676	0.999999987333344	0.9590670189310714	0.9590670189310714	0.9999999904209284	1.0
Amer2		1.0	1.0	1.0	0.9999999941272516	1.0	1.0
Usp50		0.9999559785593048	1.0	0.9999999944582144	1.0	1.0	0.9810299240622612
Dcbld2			0.1296155105402502				0.8503103319423659
Herc1		1.0	1.0	1.0	0.9999974765340988	1.0	1.0
Ermn	0.1955541593928799	0.0065404176595237	0.7364445016877182	0.8616150969787586	0.9828646662393428	0.9828646662393428	0.9843882838838957
Ctnnd1							
Iffo2	0.7753079608260244				1.0		
Zfp184							
Prdx4	1.0						
Zfp760							
Mief2							
Dnajc18							
Hcn2	0.7519708231795709	0.6673931130254764	0.181733418798392		1.0	1.0	
Slc4a2							
Rtn2	1.0	1.0	1.0	1.0	0.9999999406670744	1.0	1.0
Wdr47		1.0	1.0	1.0	0.9999369159466944	1.0	1.0
Snx14							
Dhrs13							
Leng9							
Hexim1							
Efr3b							
Ptprj		0.0118531043416783		0.8984504264883133			
Rab40c							
Sirt2	1.0	1.0	1.0	1.0	0.999999996660999	1.0	1.0
Top3a	0.889560020562638	0.9990457634126088	0.9795801677050328	0.9956650965889532	0.4528569120544072	0.9577425462636608	0.9999976090888304
Tmem94							
Msl3							
Gm7467	0.5067848798694241	0.5047716460257035	0.1874945090520501		1.0	1.0	0.7642251158468475
Gsx2		0.9057542486904736	0.8663164612750471	0.9161048676669648	0.1111346952965312	0.8661878718767468	0.9610137042452666
Sirt4							
Hs3st1					0.8880125379138417		
Lrtm2		0.7308244885301765	0.7079975029285288	0.5920068322511826	1.0	0.5065137070320536	0.8288819559507185
Ric8		0.995758665697783	0.9999999997495644	1.0	0.9770463157611948	1.0	0.9999651728747428
Epb41l4a		0.99955180430098	0.9966346398484578	0.9994767330644476	0.7282479185208881	0.997224339931205	0.9999171437466702
Bok	0.9999999999999254	0.9999999999935072	1.0	1.0	0.9999999963292032	1.0	1.0
Smad4							
Adar							
Lmln	0.4565437233731757	0.2127409993788599	0.3327362117827777	0.3158076606624935	1.0	1.0	0.7202447032401122
Rai2	0.7186672680999365	0.0128324432563445					
Pak3	1.0	0.9999999999325292	1.0	1.0	1.0	1.0	1.0
B4galt4							
Arf6		0.9999957367829384	0.770955580525497		0.8623103795758585	0.7783513099330863	0.7246713965386187
Uchl5				0.971000939477354			
Pou3f3	1.0	0.9999999934150668	0.9999999999999698	1.0	1.0	1.0	1.0
Slc7a2	0.9646816223627204	0.9999999728800908	0.9999981102777652	0.9999999503824104	0.9646816223627204	0.9999966809552144	0.9999999997359084
Wnt8b	0.9999999999638884	0.9999999999999992	0.999999999989026	1.0	0.976138656828214	0.9999999999759438	1.0
Vps13b							
Celrr		0.9961041367114656	0.9909620554581324	0.9975789599201637	0.5390075495767704	0.9912379458647306	0.99947208586714
Ptbp3							
Rorc	0.3869827597671431	0.7458939565294491	0.6088567531654456	0.8067807243122952	1.0	0.6225340398229275	0.955300211814044
