gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
A630072M18Rik							
Col2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr36							
Sik3							
Mapk10			1.0	1.0		1.0	1.0
Gm561		1.0	1.0	1.0	1.0	1.0	1.0
Gm29367		0.0	0.0	0.0	0.0	0.0	0.0
2810006K23Rik							
Srpk1		1.0	1.0	1.0	1.0	1.0	1.0
Sgce							
Acad11		0.0	0.0	0.0	0.0	0.0	0.0
Tmem229a	1.0	0.0		1.0		0.0	
Usp20							
Mef2a							
Prss23	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrrc8c	1.0	0.0	0.0			0.0	0.0
Evi5	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mia3				1.0			
Ears2							
Msrb2							
Cbfa2t2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C330006A16Rik							
Stradb		1.0	1.0	1.0	1.0	1.0	1.0
Itm2c	1.0	1.0		0.0		0.0	0.0
Plekhb1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Kif20b		0.0	0.0	0.0	0.0	0.0	0.0
AI854517	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Bbs9							
Lrrc8b							
1700023F06Rik	0.0	0.0		1.0			
Agps							
Ppp1r14c		1.0	1.0	1.0	1.0	1.0	1.0
Mrps30	1.0	1.0		1.0		1.0	1.0
Pygo1							
Nckap1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Hps3							
Sulf2	0.0				1.0		
Htra3		0.0	0.0	0.0	0.0	0.0	0.0
Ptpre	0.0	0.0	1.0	1.0		1.0	
Taf9b							
Zfp606							
Ppargc1a	1.0		0.0	0.0			0.0
Tram1l1							
Ints8							
Jph4		1.0	1.0	1.0	1.0	1.0	1.0
Fam101b	0.0		0.0		0.0	0.0	0.0
Atp11b							
Map3k2							
Larp1b	0.0	0.0	0.0		0.0	0.0	
Fuz							
Omg	0.0		0.0		0.0	0.0	0.0
Gm26721	0.0		0.0		0.0	0.0	0.0
Trpm3	0.0			1.0			0.0
Olig2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cacna1g	0.0		1.0	1.0		0.0	
Arrdc1							
Zfp575							
4930570G19Rik		0.0	0.0	0.0	0.0	0.0	0.0
Rassf10	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pald1	0.0	0.0	0.0	0.0	0.0		0.0
Sec14l1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Pxylp1							
Lix1l							
Palld	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pde2a	0.0	1.0		1.0	1.0		
Lrrc28							
3100002H09Rik	0.0	0.0	0.0		0.0		
Ryk							
Ormdl2							
Nbea	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Orc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cd1d1							
Frem2		0.0	0.0	0.0	0.0	0.0	
Pisd							
Cox6a2	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Amer2		1.0	1.0	1.0	1.0	1.0	1.0
Usp50		1.0	1.0	1.0	1.0	1.0	1.0
Dcbld2			0.0				0.0
Herc1		1.0	1.0	1.0	1.0	1.0	1.0
Ermn	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Ctnnd1							
Iffo2	0.0				0.0		
Zfp184							
Prdx4	1.0						
Zfp760							
Mief2							
Dnajc18							
Hcn2	0.0	0.0	0.0		0.0	0.0	
Slc4a2							
Rtn2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Wdr47		1.0	1.0	1.0	1.0	1.0	1.0
Snx14							
Dhrs13							
Leng9							
Hexim1							
Efr3b							
Ptprj		0.0		1.0			
Rab40c							
Sirt2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Top3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem94							
Msl3							
Gm7467	0.0	0.0	0.0		0.0	0.0	0.0
Gsx2		0.0	0.0	0.0	0.0	0.0	0.0
Sirt4							
Hs3st1					0.0		
Lrtm2		0.0	0.0	0.0	0.0	0.0	0.0
Ric8		1.0	1.0	1.0	1.0	1.0	1.0
Epb41l4a		0.0	0.0	0.0	0.0	0.0	0.0
Bok	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Smad4							
Adar							
Lmln	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rai2	0.0	1.0					
Pak3	0.0	1.0	1.0	1.0	1.0	1.0	1.0
B4galt4							
Arf6		0.0	0.0		0.0	0.0	0.0
Uchl5				1.0			
Pou3f3	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Slc7a2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Wnt8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps13b							
Celrr		0.0	0.0	0.0	0.0	0.0	0.0
Ptbp3							
Rorc	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm8281	0.0	1.0	1.0	1.0		1.0	1.0
Fam109a							
Trappc2l	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Atr							
Cyfip2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Grk6							
Zmat1							
Zc3hav1l							
Crat							
Rbl1		0.0	0.0	0.0	0.0	0.0	0.0
Pfkm	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Chchd6	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ccdc120							
Dync2li1							
4430402I18Rik	0.0	1.0	1.0	1.0	1.0	1.0	1.0
A930012L18Rik	0.0	0.0	0.0		0.0	0.0	0.0
Daam2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Stxbp2							
Ptdss1							
Lrrtm4	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Mllt10					0.0		
Ddx39	1.0		1.0	1.0		1.0	
Hs2st1	0.0	0.0	0.0	0.0		0.0	0.0
Sept10	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rnf115	1.0		1.0	1.0			
Spata6		0.0	0.0	0.0	0.0	0.0	0.0
Pcyt2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Csf1		0.0	0.0	0.0	0.0	0.0	0.0
Kidins220		1.0	1.0	1.0	1.0	1.0	1.0
Trp53inp2			1.0	1.0	1.0	1.0	1.0
Shd			1.0	1.0	1.0		1.0
Dnajc5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Chst7		0.0	0.0	0.0	0.0	0.0	0.0
Brox		1.0	1.0	1.0	1.0	1.0	1.0
Itga2b	0.0	0.0			0.0	0.0	
Tm7sf2							
Coro1a	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Pdcd4	1.0	1.0				1.0	
Gstk1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrrc3b	0.0	0.0		1.0			0.0
Msrb1		1.0	1.0	1.0		1.0	
Hectd3							
Gsg1l	1.0	1.0	0.0	0.0	1.0		0.0
Tmem55a	1.0	1.0				1.0	
Alg1							
Blvra							
Rdh11							
Xpr1	0.0	1.0	1.0		1.0	1.0	0.0
Tmem150c	0.0		1.0	1.0	1.0	1.0	1.0
Adcy2	0.0					0.0	
Sorbs3		0.0	0.0	0.0	0.0	0.0	0.0
Bub1		0.0	0.0	0.0	0.0	0.0	0.0
Mcc	1.0	0.0	0.0	0.0		0.0	0.0
Acvr2b	0.0	0.0	0.0	0.0	0.0		0.0
Rnf8							
Figf	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Sfxn5	1.0	0.0	0.0		0.0	0.0	0.0
Dlgap2	0.0	0.0	0.0		0.0	0.0	0.0
Noct							
Rasgef1b			0.0	0.0	0.0		0.0
Lipe							
Akr1b8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cfap36	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2500002B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sptbn4	0.0		1.0	1.0		1.0	1.0
Cbr3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Postn	0.0	0.0	0.0	0.0	0.0		0.0
Chac2							
Tmem8b							
Slc7a14	0.0			1.0			
Slc6a6	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Hunk							
Fbxo44							
Wdtc1							
Plcxd3	0.0		1.0		0.0		
Slc35b2							
Spats2							
Cog1							
Ctsd	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpv17l2							
Cldn9	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cbarp		1.0	1.0	1.0	1.0	1.0	1.0
