gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
Mef2a							
Ppargc1a	0.8282374044004837		0.2198329643548406	0.5834841571379039			0.5633551336914258
Olig2	0.9999992198816112	1.0	1.0	1.0	0.9999992198816112	1.0	1.0
Smad4							
Pou3f3	1.0	0.9999999934150668	0.9999999999999698	1.0	1.0	1.0	1.0
Rorc	0.3869827597671431	0.7458939565294491	0.6088567531654456	0.8067807243122952	1.0	0.6225340398229275	0.955300211814044
Dlx2	0.8294390808476323						
Jarid2							
Sp2							
Pou2f1							
Nfya							
Mxd4	1.0	1.0	1.0	1.0	0.9999065247065388	1.0	1.0
Xrcc4							
Yap1		0.9988155498525592	0.999468280871736	0.999999221747074	0.3713738077176334	0.999663731497302	0.999999999765491
Sox3		0.9175614212338906	0.8796323660915211	0.943705498699022	0.0165459949936821	0.7737053508082132	0.9681026344665996
Mafb							
Ybx3							
Kdm2b		1.0	1.0	1.0	0.9999998317090746	1.0	1.0
Insm1		0.9956290887931556	0.9137389673988704	0.9999559666151108	0.2735065288646201		
Etv1			0.4114974041249376	0.9864647621757332	1.0		0.921331656681883
Gli3		0.9309051083145898	0.9131355676440456	0.9842579313905536	0.999984687773622	0.8035648749473339	0.9923090009662052
Nfic							
Rbfox2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ctbp2	0.9982227626875496	1.0	0.99999999999904	1.0	0.9926941670693116		1.0
Hes5	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Tead1							
Prrx1	0.9990935771078782	0.9999999551820752	0.9999974256186496	0.9999999920302236	0.8576220765939249	0.9999961228205296	0.9999999999991191
Brca1	0.5476666670514581	0.919676445598527	0.844552056416689	0.9440758155027466	0.5141783091107761	0.6995422853275343	0.9684847037602222
Smad6	1.0	0.9770040179910636	0.9419723691226226	0.992445809182496	0.1756545379238533	0.932834684827989	0.9997235241304836
Myb	0.6592816680477321	0.9669993500330456	0.8890335184089689	0.9705218401144262	0.0453202131618613	0.9346260399337586	0.9951144464113534
Ncor2							
Tfap4							
Kat2b	0.1367750879811765		0.0049103310030993				0.1889984606883835
Sall4	0.9268221257955426	0.9802646507395926	0.944104358199015	0.9891163933383932	0.1294178749489607	0.9358443539052582	0.9997767700363874
Rfx4	0.999903017499466	0.9012367158427368	0.8522944377095715	0.9385028853533356	0.9988581101889148	0.8243287443167047	0.9894105475114776
Rest							
Mxi1							
Mef2c		1.0	1.0	1.0	1.0	1.0	1.0
Wwtr1	0.9999999997162424	0.999998657050183	0.9999724893596242	0.99999979752023	0.770255350676059	0.9998209224592476	0.9999999999859204
E2f3							
Mta1							
Ascl1	0.921066986143412	0.9999999850624736	0.9999997735216324	0.9999697668308564		0.9999994898835728	0.9999999997890052
Dnmt3b	0.9974612051413468	0.9999909456935936	0.9997934440490058	0.99999162928344	0.6499115921992762	0.9989239704906614	0.9999999999818302
Xbp1	1.0	1.0	1.0	1.0	0.9997578747818496	1.0	1.0
Foxo3							
Rbpj		0.9127259296912714	0.9505337027961508	0.8061802336563647	0.8240915242388118		
Tbpl1		1.0	1.0	1.0	0.973200737456621	1.0	1.0
Sall3	1.0	0.8463791386504146	0.7634794495318598	0.9387096648736708	0.9507832645510984	0.7079332914817049	0.979653215830408
Esr1	0.8413424243565717	0.626965889720215		0.749319850868982	1.0	0.7099165866277555	0.8799589190405078
Irf3							
Tgfb1i1	0.4494431564901623	0.6935825964983562	0.9688805071320388	0.5531025417876536		0.9150218664903804	
Zeb2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Gabpa							
Gli1		0.9998696350261737	0.9995139210987948	0.9999381374572398	0.773755469598419	0.9995117100649068	0.9999948406667876
Lef1		0.977961872550139	0.9543237310916172	0.9873474357081256	0.324140157825651	0.4579517613786176	0.9961016312507264
Klf4	0.9999999999999912	0.9999999999753452	0.9999999999278816	0.999999971500388	0.9679776913263616	0.999999844380252	1.0
Ppard		0.6899879659118584	0.7918018508116642	0.7806555331390613	0.3337046110799242	0.659394116994998	0.9892025595102892
Barx2	0.9999999985254932	0.9999999999524786	0.9999999829285444		0.9386436376414832	0.9999999205000027	0.999999999999792
Pawr	0.995816517398592	0.9999832797962892	0.9996384762654316	0.9999931853584956	0.6357881580489559	0.999592245160464	0.9999999999236028
Hopx	0.9998619823867458	0.9952148820334936	0.96248585812092	0.9747730875862796	0.2014921821248788	0.9716213438402864	0.9998929664172916
Cebpb		0.7451809445719485		0.5418303500512518		0.8271394723370673	0.7757728117390755
Nfia	1.0	1.0	1.0		1.0	1.0	
Mafk							
Brf2							
Zeb1	1.0	0.9999999815353748	0.99999943790722	0.9999999998803286	0.7308895836969223	0.9999599475459312	1.0
