gene	Astrocytes	CThPN	DL CPN	Layer 4	NP	SCPN	UL CPN
Mef2a							
Ppargc1a	1.0		0.0	0.0			0.0
Olig2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Smad4							
Pou3f3	1.0	0.0	1.0	1.0	1.0	1.0	1.0
Rorc	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dlx2	1.0						
Jarid2							
Sp2							
Pou2f1							
Nfya							
Mxd4	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Xrcc4							
Yap1		0.0	0.0	0.0	0.0	0.0	0.0
Sox3		0.0	0.0	0.0	0.0	0.0	0.0
Mafb							
Ybx3							
Kdm2b		1.0	1.0	1.0	1.0	1.0	1.0
Insm1		0.0	0.0	0.0	0.0		
Etv1			0.0	0.0	1.0		0.0
Gli3		0.0	0.0	0.0	0.0	0.0	0.0
Nfic							
Rbfox2	0.0	1.0	1.0	1.0	1.0	1.0	1.0
Ctbp2	1.0	0.0	0.0	0.0	0.0		0.0
Hes5	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Tead1							
Prrx1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Brca1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smad6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Myb	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ncor2							
Tfap4							
Kat2b	1.0		0.0				0.0
Sall4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rfx4	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Rest							
Mxi1							
Mef2c		1.0	1.0	1.0	1.0	1.0	1.0
Wwtr1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
E2f3							
Mta1							
Ascl1	1.0	0.0	0.0	0.0		0.0	0.0
Dnmt3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xbp1	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Foxo3							
Rbpj		0.0	0.0	0.0	0.0		
Tbpl1		1.0	1.0	1.0	1.0	1.0	1.0
Sall3	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Esr1	0.0	0.0		0.0	0.0	0.0	0.0
Irf3							
Tgfb1i1	1.0	1.0	1.0	1.0		1.0	
Zeb2	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Gabpa							
Gli1		0.0	0.0	0.0	0.0	0.0	0.0
Lef1		0.0	0.0	0.0	0.0	0.0	0.0
Klf4	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppard		0.0	0.0	0.0	0.0	0.0	0.0
Barx2	0.0	0.0	0.0		0.0	0.0	0.0
Pawr	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hopx	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cebpb		0.0		0.0		0.0	0.0
Nfia	1.0	1.0	1.0		1.0	1.0	
Mafk							
Brf2							
Zeb1	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Neurog1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stat5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fezf2		1.0			1.0	1.0	0.0
Mbd2							
Ddit3							
E2f6							
Neurod6		1.0	1.0	1.0	1.0	1.0	1.0
Asxl1							
Tfam		0.0	0.0	0.0	0.0	0.0	0.0
Sox2	1.0	0.0	0.0	0.0	0.0	0.0	0.0
